# NIFTY500 constituents — vendored from NSE.
# Source: https://nsearchives.nseindia.com/content/indices/ind_nifty500list.csv
# Captured: 2026-08-19. NSE rebalances the index periodically (~semi-annual,
# with interim changes on corporate events) — re-fetch this file after a
# rebalance. Loader: reports/universes.py::load_nifty500().
symbol,company,industry,isin
360ONE,360 ONE WAM Ltd.,Financial Services,INE466L01038
3MINDIA,3M India Ltd.,Diversified,INE470A01017
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010
AARTIIND,Aarti Industries Ltd.,Chemicals,INE769A01020
AAVAS,Aavas Financiers Ltd.,Financial Services,INE216P01012
ABB,ABB India Ltd.,Capital Goods,INE117A01022
ABBOTINDIA,Abbott India Ltd.,Healthcare,INE358A01014
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,INE674K01013
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,INE647O01011
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,INE14LE01019
ABREL,Aditya Birla Real Estate Ltd.,Realty,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,INE404A01024
ACC,ACC Ltd.,Construction Materials,INE012A01025
ACE,Action Construction Equipment Ltd.,Capital Goods,INE731H01025
ACMESOLAR,ACME Solar Holdings Ltd.,Power,INE622W01025
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,INE00FF01025
ADANIENSOL,Adani Energy Solutions Ltd.,Power,INE931S01010
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,Power,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042
ADANIPOWER,Adani Power Ltd.,Power,INE814H01029
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,INE0INX01018
AFCONS,Afcons Infrastructure Ltd.,Construction,INE101I01011
AFFLE,Affle 3i Ltd.,Information Technology,INE00WC01027
AIAENG,AIA Engineering Ltd.,Capital Goods,INE212H01026
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,INE206F01022
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049
ALKEM,Alkem Laboratories Ltd.,Healthcare,INE540L01014
AMBER,Amber Enterprises India Ltd.,Consumer Durables,INE371P01015
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,INE079A01024
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,INE463V01026
ANANTRAJ,Anant Raj Ltd.,Realty,INE242C01024
ANGELONE,Angel One Ltd.,Financial Services,INE732I01021
ANTHEM,Anthem Biosciences Ltd.,Healthcare,INE0CZ201020
ANURAS,Anupam Rasayan India Ltd.,Chemicals,INE930P01018
APARINDS,Apar Industries Ltd.,Capital Goods,INE372A01015
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,INE438A01022
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,INE852O01025
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,INE885A01032
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,INE439A01020
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,INE208A01029
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,INE021A01026
ASTERDM,Aster DM Quality Care Ltd.,Healthcare,INE914M01019
ASTRAL,Astral Ltd.,Capital Goods,INE006I01046
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,INE0LEZ01016
ATUL,Atul Ltd.,Chemicals,INE100A01010
AUBANK,AU Small Finance Bank Ltd.,Financial Services,INE949L01017
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,INE406A01037
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024
AXISBANK,Axis Bank Ltd.,Financial Services,INE238A01034
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010
